3 sequence; length of alignment 34
alifold output
    9    20  0  99.8%   0.009 UA:3   
    8    21  0  99.8%   0.006 UA:3   
    7    22  0  99.8%   0.007 GC:3   
    2    28  0  99.4%   0.046 GC:3   
    3    27  0  99.3%   0.074 GC:3   
   10    19  0  98.9%   0.039 CG:3   
   11    18  0  97.3%   0.085 CG:3   
    1    29  0  95.7%   0.126 CG:3   
    4    26  0  91.2%   0.458 AU:3   
    6    23  0  81.0%   0.619 UG:3   
    4    25  0   3.5%   0.425 AU:3    +
    5    23  0   3.0%   0.318 CG:3    +
   12    18  0   2.1%   0.270 CG:3    +
    4    24  0   1.4%   0.180 AU:3    +
   11    19  0   1.1%   0.188 CG:3    +
    3    26  0   0.3%   0.081 GU:3    +
    2    27  0   0.3%   0.065 GC:3    +
    3    25  0   0.2%   0.040 GU:3    +
    2    26  0   0.1%   0.023 GU:3    +
   19    27  0   0.1%   0.100 GC:3    +
   18    28  0   0.1%   0.129 GC:3    +
   20    26  0   0.1%   0.127 AU:3    +
   13    31  0   0.1%   0.015 UA:3    +
   12    32  0   0.1%   0.097 CG:3    +
   14    30  0   0.1%   0.014 UA:3    +
    3    10  0   0.1%   0.014 GC:3    +
    2    11  0   0.1%   0.014 GC:3    +
   15    29  0   0.1%   0.056 CG:3    +
    4     9  0   0.1%   0.012 AU:3    +
   21    25  0   0.0%   0.140 AU:3    +
    1    32  0   0.0%   0.045 CG:3    +
   27    32  0   0.0%   0.038 CG:3    +
   26    33  0   0.0%   0.117 UA:3    +
   17    29  0   0.0%   0.048 UG:3    +
   13    18  0   0.0%   0.109 UG:3    +
   28    34  0   0.0%   0.013 CG:3    +
    7    24  0   0.0%   0.062 GU:3    +
   13    33  0   0.0%   0.006 UA:3    +
   12    34  0   0.0%   0.087 CG:3    +
   12    19  0   0.0%   0.141 CG:3    +
    9    21  0   0.0%   0.008 UA:3    +
   14    32  0   0.0%   0.011 UG:3    +
   15    32  0   0.0%   0.011 CG:3    +
   14    33  0   0.0%   0.006 UA:3    +
   25    34  0   0.0%   0.133 UG:3    +
   28    32  0   0.0%   0.018 CG:3    +
   10    18  0   0.0%   0.005 CG:3    +
   18    27  0   0.0%   0.133 GC:3    +
   19    26  0   0.0%   0.170 GU:3    +
   20    25  0   0.0%   0.131 AU:3    +
   13    34  0   0.0%   0.006 UG:3    +
    1    34  0   0.0%   0.043 CG:3    +
    3    28  0   0.0%   0.048 GC:3    +
    8    20  0   0.0%   0.000 UA:3    +
    9    19  0   0.0%   0.004 UG:3    +
    3    11  0   0.0%   0.010 GC:3    +
    2    12  0   0.0%   0.005 GC:3    +
   11    34  0   0.0%   0.080 CG:3    +
    2    10  0   0.0%   0.000 GC:3    +
   10    34  0   0.0%   0.016 CG:3    +
    3     9  0   0.0%   0.000 GU:3    +
   25    32  0   0.0%   0.138 UG:3    +
    4     8  0   0.0%   0.000 AU:3    +
    7    25  0   0.0%   0.131 GU:3    +
   24    33  0   0.0%   0.060 UA:3    +
    2    25  0   0.0%   0.005 GU:3    +
    6    33  0   0.0%   0.171 UA:3    +
    5    34  0   0.0%   0.106 CG:3    +
   26    31  0   0.0%   0.120 UA:3    +
    3    24  0   0.0%   0.005 GU:3    +
    9    30  0   0.0%   0.006 UA:3    +
    8    31  0   0.0%   0.002 UA:3    +
   10    29  0   0.0%   0.058 CG:3    +
   17    30  0   0.0%   0.005 UA:3    +
   27    34  0   0.0%   0.031 CG:3    +
   26    32  0   0.0%   0.121 UG:3    +
    8    23  0   0.0%   0.279 UG:3    +
   25    33  0   0.0%   0.132 UA:3    +
   14    18  0   0.0%   0.108 UG:3    +
((((.((((((......))))))..)))).....
